"多语言翻译

开发同事请注意：
    占位符请使用形如{0}{1}…并标红；
    换行符请去掉，直接在单元格中换行；

翻译同事请注意：
    标红部分形如{0}{1}为占位符，翻译时请保留占位符。

支持的语言：
en（英语）  ja（日语）  de（德语）  fr（法语）
zh-Hant（繁体中文）  ru（俄语）  it（意大利语）  es(西班牙语)
nl(荷兰语)  tr(土耳其语)  ar（阿拉伯语）  zh-Hans（简体中文）
uk（乌克兰语）pt（葡萄牙）",,,,,,,,,
序号,备注,Key,en,ja,fr,zh-Hant,ru,it,zh-Hans
1,,key1,value1,,法语1,中文繁体1,俄语1,意大利语1,中文1
2,没有值,key2,value2,,法语2,中文繁体2,俄语2,意大利语2,中文2
3,占位符异常,key3,value3%@A{0}B{1},日语3,法语3,中文繁体3,俄语3,意大利语3,中文3
4,英语占位符异常,key4,value4{2},日语4{2},法语4,中文繁体4,俄语4,意大利语4,中文4
5,Excel Cell 有错误码,key5,#NAME?,#NAME?,法语5,中文繁体5,俄语5,意大利语5,中文5
6,,key6,value6,,法语6,中文繁体6,俄语6,意大利语6,中文6
7,,key7,value7,,法语7,中文繁体7,俄语7,意大利语7,中文7
8,,key8,value8,,法语8,中文繁体8,俄语8,意大利语8,中文8
9,,key9,value9,,法语9,中文繁体9,俄语9,意大利语9,中文9
10,,key10,value10,,法语10,中文繁体10,俄语10,意大利语10,中文10
11,,,,,,,,,
12,缺少没有de德语列，应该报错,,,,,,,,
13,没有英语key,,,没有英语key的日语value,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
