" 多语言翻译

开发同事请注意：
    占位符请使用形如{0}{1}…并标红；
    换行符请去掉，直接在单元格中换行；

翻译同事请注意：
    标红部分形如{0}{1}为占位符，翻译时请保留占位符。

支持的语言：
en（英语）  ja（日语）  de（德语）  fr（法语）
zh-Hant（繁体中文）  ru（俄语）  it（意大利语）  es(西班牙语)
nl(荷兰语)  tr(土耳其语)  ar（阿拉伯语）  zh-Hans（简体中文）
uk（乌克兰语）pt（葡萄牙）",,,,,,,,,,
序号,备注,Key,en,ja,de,fr,zh-Hant,ru,it,zh-Hans
8,,key8,value8,日语8,德语8,法语8,中文繁体8,俄语8,意大利语8,中文8
9,,key9,value9,日语9,德语9,法语9,中文繁体9,俄语9,意大利语9,中文9
10,,key10,value10,日语10,德语10,法语10,中文繁体10,俄语10,意大利语10,中文10
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
